Country,Time,10-Year Gov Bond Yields (%),Call Money/Interbank Immediate (%)
JP,2000-02,1.796,0.0345
JP,2000-03,1.819,0.02136
JP,2000-04,1.74,0.02
JP,2000-05,1.705,0.021
JP,2000-06,1.6640000000000001,0.020909999999999998
JP,2000-07,1.689,0.021
JP,2000-08,1.75,0.15522
JP,2000-09,1.876,0.2495
JP,2000-10,1.815,0.24761999999999998
JP,2000-11,1.764,0.2475
JP,2000-12,1.624,0.24143
JP,2001-01,1.508,0.24895
JP,2001-02,1.415,0.24841999999999997
JP,2001-03,1.169,0.10667
JP,2001-04,1.315,0.02
JP,2001-05,1.25,0.01857
JP,2001-06,1.1520000000000001,0.01762
JP,2001-07,1.305,0.01286
JP,2001-08,1.3430000000000002,0.01
JP,2001-09,1.3459999999999999,0.00505
JP,2001-10,1.3630000000000002,0.00314
JP,2001-11,1.328,0.00243
JP,2001-12,1.334,0.0018399999999999998
JP,2002-01,1.42,0.0011099999999999999
JP,2002-02,1.501,0.001
JP,2002-03,1.421,0.00205
JP,2002-04,1.3940000000000001,0.00148
JP,2002-05,1.365,0.0013800000000000002
JP,2002-06,1.328,0.0014
JP,2002-07,1.296,0.0017800000000000001
JP,2002-08,1.255,0.00186
JP,2002-09,1.129,0.00526
JP,2002-10,1.095,0.0019100000000000002
JP,2002-11,0.9790000000000001,0.00195
JP,2002-12,0.975,0.00195
JP,2003-01,0.836,0.002
JP,2003-02,0.828,0.001
JP,2003-03,0.7240000000000001,0.002
JP,2003-04,0.6629999999999999,0.001
JP,2003-05,0.5770000000000001,0.001
JP,2003-06,0.529,0.001
JP,2003-07,0.956,0.002
JP,2003-08,1.406,0.001
JP,2003-09,1.42,0.002
JP,2003-10,1.4369999999999998,0.001
JP,2003-11,1.3330000000000002,0.001
JP,2003-12,1.33,0.001
JP,2004-01,1.33,0.0
JP,2004-02,1.2109999999999999,0.001
JP,2004-03,1.4180000000000001,0.001
JP,2004-04,1.52,0.0
JP,2004-05,1.505,0.001
JP,2004-06,1.807,0.001
JP,2004-07,1.808,0.0
JP,2004-08,1.588,0.001
JP,2004-09,1.393,0.001
JP,2004-10,1.483,0.001
JP,2004-11,1.452,0.001
JP,2004-12,1.3969999999999998,0.001
JP,2005-01,1.31,0.001
JP,2005-02,1.419,0.001
JP,2005-03,1.325,0.002
JP,2005-04,1.2570000000000001,0.001
JP,2005-05,1.238,0.001
JP,2005-06,1.143,0.001
JP,2005-07,1.295,0.001
JP,2005-08,1.365,0.001
JP,2005-09,1.45,0.001
JP,2005-10,1.5130000000000001,0.001
JP,2005-11,1.454,0.001
JP,2005-12,1.4880000000000002,0.001
JP,2006-01,1.547,0.001
JP,2006-02,1.598,0.001
JP,2006-03,1.7590000000000001,0.002
JP,2006-04,1.956,0.002
JP,2006-05,1.849,0.02
JP,2006-06,1.901,0.036000000000000004
JP,2006-07,1.9269999999999998,0.155
JP,2006-08,1.6680000000000001,0.25
JP,2006-09,1.6280000000000001,0.261
JP,2006-10,1.7180000000000002,0.254
JP,2006-11,1.69,0.257
JP,2006-12,1.645,0.255
JP,2007-01,1.705,0.267
JP,2007-02,1.64,0.35700000000000004
JP,2007-03,1.629,0.509
JP,2007-04,1.653,0.511
JP,2007-05,1.733,0.521
JP,2007-06,1.903,0.51
JP,2007-07,1.8090000000000002,0.499
JP,2007-08,1.577,0.485
JP,2007-09,1.6980000000000002,0.51
JP,2007-10,1.6159999999999999,0.506
JP,2007-11,1.4969999999999999,0.5
JP,2007-12,1.526,0.49700000000000005
JP,2008-01,1.429,0.502
JP,2008-02,1.429,0.504
JP,2008-03,1.245,0.511
JP,2008-04,1.6,0.506
JP,2008-05,1.778,0.505
JP,2008-06,1.601,0.509
JP,2008-07,1.537,0.503
JP,2008-08,1.431,0.504
JP,2008-09,1.4809999999999999,0.495
JP,2008-10,1.486,0.48700000000000004
JP,2008-11,1.3769999999999998,0.301
JP,2008-12,1.214,0.21100000000000002
JP,2009-01,1.272,0.12
JP,2009-02,1.2770000000000001,0.111
JP,2009-03,1.3230000000000002,0.1
JP,2009-04,1.402,0.10400000000000001
JP,2009-05,1.4809999999999999,0.102
JP,2009-06,1.3630000000000002,0.10400000000000001
JP,2009-07,1.386,0.102
JP,2009-08,1.314,0.106
JP,2009-09,1.258,0.102
JP,2009-10,1.4040000000000001,0.106
JP,2009-11,1.253,0.105
